Name;brewery;beerstyle;beertypes;nationality;grad
5:00 m.;brewdog;ALE - BRITISH STYLE etc;BITTER/PALE;SCO;5
704;birrificio lodigiano;LAGER - PALE (CHIARA);PILSEN;IT;5.2
709;birrificio lodigiano;STRONG LAGER;BOCK;IT;6.2
1066;hampshire;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;6
1417;hacker-pschorr;LAGER - PALE (CHIARA);ZWICKEL/KELLER;DE;5.5
1492;dreher;LAGER - PALE (CHIARA);;IT;4.7
1698;shepherd neame;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;6.5
10 e lode;opperbacco;ALE - BELGIAN STYLE etc;BELGIAN STRONG;IT;10
100% farro;la petrogonola;SPECIAL;SPECIAL MALT;IT;5.3
110 jubilaeums pilsner;harboe;LAGER - PALE (CHIARA);PILSEN;DK;4.6
1488 whisky ale;traditional scottish ales;ALE - BRITISH STYLE etc;OLD/WINTER;SCO;7
150 anniversario ambrata;menabrea;LAGER - AMBER (ROSSA);;IT;5
150 anniversario chiara;menabrea;LAGER - PALE (CHIARA);;IT;5
1664 de kronenbourg;kronenbourg;STRONG LAGER;;FR;6.1
1792 imperial stout;pitfield;STOUT/PORTER;IMPERIAL;GB;9.3
18 with a bullet;kelham island;ALE - BRITISH STYLE etc;BITTER/PALE;GB;4.5
1824 particular;ushers;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;6
1828 anniversary ale;lees;ALE - BRITISH STYLE etc;BITTER/PALE;GB;4.8
1830 amber;pitfield;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;6.5
1837 ipa;pitfield;ALE - BRITISH STYLE etc;INDIA/AMERICAN PALE;GB;7
1850 london porter;pitfield;STOUT/PORTER;PORTER;GB;5
1860 xx stout;pitfield;STOUT/PORTER;DRY;GB;6
1896 xxxx stock ale;pitfield;ALE - BRITISH STYLE etc;BARLEY WINE;GB;10
1978 Centennial;bass;ALE - BRITISH STYLE etc;BITTER/PALE;GB;4.7
1994 christmas;king & barnes;ALE - BRITISH STYLE etc;;GB;8
2004 symposium ale;stone;ALE - BELGIAN STYLE etc;GOLDEN;US;7.5
3 bullz;burnside;ALE - BRITISH STYLE etc;BITTER/PALE;SCO;3.8
3 fonteinen faro;3 fonteinen;LAMBIC;FARO;BE;5.5
3 fonteinen kriek;3 fonteinen;LAMBIC;KRIEK;BE;5
3 fonteinen oude geuze;3 fonteinen;LAMBIC;GUEUZE;BE;5
3 monts;s. sylvestre;ALE - BELGIAN STYLE etc;GARDE;FR;8.5
36.15;fischer - adelshoffen;SPECIAL;SPICED/HERBS;FR;
40 yards;matthews;STOUT/PORTER;PORTER;GB;5
50 ale;birrificio aosta;SPECIAL;SPICED/HERBS;IT;5.4
5-korn;riedenburger;SPECIAL;SPECIAL MALT;DE;5
60 minute ipa;dogfish head;ALE - BRITISH STYLE etc;INDIA/AMERICAN PALE;US;6
6x;wadworth;ALE - BRITISH STYLE etc;BITTER/PALE;GB;
77 lager;brewdog;LAGER - PALE (CHIARA);;SCO;4.9
8.6 bavaria;bavaria;STRONG LAGER;EXTRASTRONG;NL;8.6
8.6 bavaria gold;bavaria;STRONG LAGER;;NL;6.5
8.6 bavaria red;bavaria;STRONG LAGER;;NL;7.9
800 years of achievement;moonshine;WHEAT (GRANO);;GB;4.2
800 years of discovery;moonshine;ALE - BRITISH STYLE etc;OLD/WINTER;GB;9
800 years of innovation;moonshine;SPECIAL;SPICED/HERBS;GB;4
800 years of inspiration;moonshine;LAGER - AMBER (ROSSA);MARZEN/OCTOBER;GB;6.3
90 minute ipa;dogfish head;ALE - BRITISH STYLE etc;INDIA/AMERICAN PALE;US;9
90 shillings;left hand;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;
a over t;hogs back;ALE - BRITISH STYLE etc;BARLEY WINE;GB;9
abb de flandres double;riva;ALE - BELGIAN STYLE etc;DUBBEL;BE;
abbatiale;st. amand;ALE - BELGIAN STYLE etc;GARDE;FR;7
abbaye d'aulne triple brune;val de sambre;ALE - BELGIAN STYLE etc;BELGIAN STRONG;BE;9
abbaye de rocs noel;abbaye de rocs;ALE - BELGIAN STYLE etc;BELGIAN STRONG;BE;9
abbaye des rocs;abbaye de rocs;ALE - BELGIAN STYLE etc;BELGIAN STRONG;BE;9
abboccata;birranova;STRONG LAGER;BOCK;IT;6.5
abbot ale;greene king;ALE - BRITISH STYLE etc;BITTER/PALE;GB;
abc stout;asia pacific;STOUT/PORTER;FOREIGN;SG;8.1
abeelse stout;strubbe;STOUT/PORTER;SWEET;BE;5.2
abeelse tripel;strubbe;ALE - BELGIAN STYLE etc;TRIPLE;BE;7.8
abt andreas;hosl;WHEAT (GRANO);WEIZE;DE;4.9
ace of spades;osset;STOUT/PORTER;PORTER;GB;4.5
achel blonde;trappist abb. achel;ALE - BELGIAN STYLE etc;BLONDE;BE;8
achel donker;trappist abb. achel;ALE - BELGIAN STYLE etc;DUBBEL;BE;8
achel extra bruin;achel;ALE - BELGIAN STYLE etc;QUADRUPEL;BE;9.5
actien alt;dortmunder actien braurei;ALE/LAGER HYBRID;ALT;DE;5
ada 10;de smedt (abb d'aulne);ALE - BELGIAN STYLE etc;QUADRUPEL;BE;10
adambrau;adambrau;LAGER - PALE (CHIARA);;AT;
adelardus bruin;kerkom;ALE - BELGIAN STYLE etc;DUBBEL;BE;7
adelardus triple;kerkom;ALE - BELGIAN STYLE etc;TRIPLE;BE;9
adelscott;fischer - adelshoffen;SPECIAL;WHISKYMALT;FR;6.4
adelscott scura;fischer - adelshoffen;SPECIAL;WHISKYMALT;FR;6.4
adelskronen pils;adelskronen;LAGER - PALE (CHIARA);PILSEN;DE;4.9
admiral;32 via dei birrai;ALE - BRITISH STYLE etc;STRONG SCOTCH;IT;6.3
admiral's ale;st. austell;ALE - BRITISH STYLE etc;STRONG BITTER/PALE;GB;5
adnams bitter;adnams;ALE - BRITISH STYLE etc;BITTER/PALE;GB;3.7
adnams kolsch;adnams;ALE/LAGER HYBRID;KOLSCH;GB;4.2
aecht schenkerla;heller;SPECIAL;SMOKED (AFFUMICATA);DE;5
